Tiempo,Flujo
2454953.5,401439.408547542
2454953.5013422817,401325.1124257892
2454953.502684564,401466.5839368581
2454953.5040268456,401624.14537415345
2454953.5053691277,401307.8523925498
2454953.5067114094,401307.85534774914
2454953.508053691,401634.2583067913
2454953.5093959733,401488.1382512475
2454953.510738255,401265.4946105317
2454953.512080537,401447.6608078455
2454953.513422819,401266.5848152938
2454953.5147651006,401266.16864435736
2454953.5161073827,401393.5532088819
2454953.5174496644,401005.6095559616
2454953.518791946,401039.51479014766
2454953.5201342283,401248.7882447366
2454953.52147651,401167.6903983398
2454953.522818792,401406.5645198671
2454953.524161074,401186.5556664062
2454953.5255033555,401095.7853337597
2454953.5268456377,401613.81677840586
2454953.5281879194,401309.36026591243
2454953.5295302016,401362.1550768438
2454953.5308724833,401093.5453264816
2454953.532214765,401252.01110958547
2454953.533557047,401369.9660661478
2454953.534899329,401142.821156064
2454953.536241611,401277.39922133327
2454953.5375838927,400663.68352003937
2454953.5389261744,400029.7289735401
2454953.5402684566,399079.8973116998
2454953.5416107383,398470.2463227704
2454953.54295302,396972.82448481675
2454953.544295302,395560.19448267424
2454953.545637584,394658.0057621382
2454953.546979866,393080.72215832694
2454953.5483221477,392206.8829330794
2454953.5496644294,390810.7722111207
2454953.5510067116,390091.20148636104
2454953.5523489933,389752.1346966262
2454953.5536912754,389502.8356957477
2454953.555033557,389340.3462906142
2454953.556375839,389288.6833091701
2454953.557718121,389255.3013347939
2454953.5590604027,389043.3660417339
2454953.560402685,389179.92804248893
2454953.5617449665,389226.58502122725
2454953.5630872482,389499.7820007194
2454953.5644295304,389371.35129212233
2454953.565771812,388992.1527720347
2454953.567114094,389367.83511449106
2454953.568456376,389240.1851895251
2454953.5697986577,389187.65403994493
2454953.57114094,389419.60173199134
2454953.5724832215,389495.07991404925
2454953.5738255032,389477.13042144093
2454953.5751677854,389158.44084581995
2454953.576510067,389253.84177234676
2454953.5778523493,389369.12741765263
2454953.579194631,389485.098122882
2454953.5805369127,389223.2486371879
2454953.581879195,389276.0813842005
2454953.5832214765,389110.35970467894
2454953.5845637587,389094.1828076655
2454953.5859060404,389455.75464803097
2454953.587248322,389553.62320514274
2454953.5885906043,389296.53817811556
2454953.589932886,389490.1359216206
2454953.5912751677,389374.59448450856
2454953.59261745,389193.3784441711
2454953.5939597315,389374.5512089915
2454953.5953020137,389586.3465819639
2454953.5966442954,389303.0513129602
2454953.597986577,389591.13585804653
2454953.5993288592,388837.9458812638
2454953.600671141,389457.4424507875
2454953.602013423,389325.1684722829
2454953.603355705,389255.67867691617
2454953.6046979865,389326.01693977637
2454953.6060402687,388951.73759537184
2454953.6073825504,389269.95906018926
2454953.6087248325,389373.7802628721
2454953.6100671142,389575.5209280535
2454953.611409396,389216.21136071073
2454953.612751678,389163.9711514792
2454953.61409396,389219.1837321548
2454953.6154362415,389474.27238118637
2454953.6167785237,389368.67519973876
2454953.6181208054,389214.14316332195
2454953.6194630875,389401.8881379604
2454953.620805369,389326.9739588826
2454953.622147651,389483.85609829595
2454953.623489933,389183.1304431021
2454953.624832215,389250.5208136124
2454953.626174497,389238.9205324362
2454953.6275167787,389046.0673093362
2454953.6288590604,389362.80164987163
2454953.6302013425,389356.4899489924
2454953.631543624,389310.42042219563
2454953.6328859064,389267.2743159925
2454953.634228188,389054.7332664309
2454953.63557047,389233.7838419022
2454953.636912752,389247.81138702517
2454953.6382550336,389165.0900915401
2454953.6395973153,389280.4685719001
2454953.6409395975,389382.2291542266
2454953.642281879,389649.0134622179
2454953.6436241614,389340.9240063097
2454953.644966443,389355.8590703301
2454953.646308725,389356.5114465106
2454953.647651007,389371.32085541595
2454953.6489932886,390325.5024775819
2454953.650335571,391174.35427120846
2454953.6516778525,392612.67106622586
2454953.653020134,393265.8490416611
2454953.6543624164,394564.2261995796
2454953.655704698,395744.33433133934
2454953.65704698,396764.89193849807
2454953.658389262,398342.54435617157
2454953.6597315436,399323.55244778475
2454953.661073826,400224.6195989707
2454953.6624161075,400608.1087423617
2454953.663758389,401462.2765539995
2454953.6651006714,401097.6668086974
2454953.666442953,401455.634276884
2454953.667785235,401744.2820126458
2454953.669127517,401171.7034614765
2454953.6704697986,401248.0664086715
2454953.671812081,401367.93724571576
2454953.6731543625,401259.3743822591
2454953.6744966446,401070.8805824081
2454953.6758389263,401362.3413354651
2454953.677181208,401158.7853315293
2454953.67852349,401435.2466375143
2454953.679865772,401184.5036378379
2454953.681208054,401628.98819290317
2454953.682550336,401209.0144073795
2454953.6838926175,401292.02892708295
2454953.6852348996,401496.43309912656
2454953.6865771813,401128.4444230419
2454953.687919463,401390.94278822874
2454953.689261745,401585.2856957708
2454953.690604027,401060.653017779
2454953.691946309,401383.2340945358
2454953.6932885908,401396.7789029647
2454953.6946308725,401490.7281169199
2454953.6959731546,401127.34887204197
2454953.6973154363,401112.31780964485
2454953.6986577185,401443.949481811
2454953.7,401403.457241182
