TIME,FLUX
54953.53868230712,-6.888689618733679e-05
54953.55911603989,-68.15619322153577
54953.579549772665,219.25133038558363
54953.59998350544,103.74534248483116
54953.62041723821,235.71305248304418
54953.64085097099,174.55609536942694
54953.66128470376,101.85367745374485
54953.681718436535,110.31412877748892
54953.70215216931,224.8539790816739
54953.722585902084,323.72463949892347
54953.74301963486,-28.71887164823672
54953.76345336763,298.4670103793885
54953.783887100406,3.012934035817594
54953.80432083318,-72.17992727659438
54953.824754565954,126.33373286563554
54953.84518829873,151.9191967811473
54953.8656220315,38.813591790365365
54953.88605576428,263.8722916636915
54953.90648949705,209.5779992634661
54953.926923229825,110.43874871718984
54953.9473569626,100.52669166696006
54953.96779069537,135.04369322991926
54953.98822442815,145.6998726572234
54954.00865816092,143.16208235176651
54954.029091893695,420.8590995429251
54954.04952562647,126.57871251486874
54954.06995935924,269.63404377022823
54954.09039309202,63.26522973476578
54954.11082682479,-101.44920102039822
54954.131260557566,87.26760751609497
54954.15169429034,120.92936594854109
54954.172128023114,71.95911544477518
54954.19256175589,73.80119860123102
54954.21299548866,-23.794302203450357
54954.23342922144,174.22795793731183
54954.25386295421,105.66151843582894
54954.274296686985,48.43654815611664
54954.29473041976,-26.178778932739455
54954.31516415253,-110.53566180974084
54954.33559788531,-100.55554864940586
54954.35603161808,99.94903047116921
54954.376465350855,237.77332844976405
54954.39689908363,120.88640989094124
54954.4173328164,20.770650211776598
54954.43776654918,125.28458414617916
54954.45820028195,73.48370639537194
54954.478634014726,153.16512984675512
54954.4990677475,-105.51823020803994
54954.519501480274,140.15701820291326
54954.53993521305,-43.1660150133073
54954.56036894582,450.9792145237501
54954.580802678596,-71.7766522414509
54954.60123641137,117.0918105923846
54954.621670144144,92.44293746224486
54954.64210387692,306.01008841202315
54954.66253760969,-189.55640569240373
54954.68297134247,174.4734380435542
54954.70340507524,95.4123524901096
54954.723838808015,291.0421443325095
54954.74427254079,179.94209901961432
54954.76470627356,-109.64719582706728
54954.78514000634,132.64673811907988
54954.80557373911,-19.284303383382273
54954.826007471886,-114.9007446655803
54954.84644120466,-72.19187333917799
54954.866874937434,243.42650022268765
54954.88730867021,73.5069989885595
54954.90774240298,-117.01193477275939
54954.928176135756,15.634284224574913
54954.94860986853,84.88199755829484
54954.969043601304,160.15488119802689
54954.98947733408,-61.99225119984941
54955.00991106685,-85.84327452587637
54955.03034479963,13.177157524690841
54955.0507785324,162.30918689985606
54955.071212265175,154.4744190025149
54955.09164599795,44.35183150808264
54955.11207973072,21.07534452355786
54955.1325134635,70.19613733771912
54955.15294719627,98.77568637239875
54955.173380929045,160.55061448261299
54955.19381466182,299.8534547256071
54955.21424839459,16.764604109154035
54955.23468212737,12.082307093042033
54955.25511586014,-8.884063849357027
54955.275549592916,285.7974265950691
54955.29598332569,291.13371329714255
54955.316417058464,-131.3952380925798
54955.33685079124,-69.34160645766241
54955.35728452401,179.64412475146574
54955.37771825679,68.40512503569762
54955.39815198956,232.60665178326258
54955.418585722335,-114.37837959205055
54955.43901945511,84.59974414765092
54955.45945318788,293.2194024694024
54955.47988692066,203.69423526567232
54955.50032065343,-81.65781958480167
54955.520754386205,181.3684788536385
54955.54118811898,50.940285631906335
54955.56162185175,-77.86241839602414
54955.58205558453,183.2302799424923
54955.6024893173,-28.761284984746283
54955.622923050076,-16.514668225608986
54955.64335678285,181.37039967358604
54955.663790515624,79.41587807791528
54955.6842242484,263.98376463565575
54955.70465798117,102.11628107592574
54955.725091713946,300.26028083932334
54955.74552544672,-13.5385300354951
54955.765959179495,11.772480562832754
54955.78639291227,-223.24063437961783
54955.80682664504,-174.93076909735893
54955.82726037782,51.53115264411312
54955.84769411059,19.261634989886645
54955.868127843365,225.49164393259602
54955.88856157614,72.35475142430836
54955.90899530891,59.11960758520074
54955.92942904169,589.1053270563607
54955.94986277446,72.67370140895402
54955.970296507236,106.22251297598417
54955.99073024001,11.04831847498211
54956.011163972784,97.45576770625597
54956.03159770556,-0.046472809711595175
54956.05203143833,-38.72547235928003
54956.072465171106,-118.34934271093277
54956.09289890388,25.725769203122084
54956.113332636654,-91.9707830034501
54956.13376636943,-25.42698855567682
54956.1542001022,-9.701483618229645
54956.17463383498,-89.32046877363487
54956.19506756775,79.41029943459021
54956.215501300525,349.8894859201851
54956.2359350333,75.62515680037407
54956.25636876607,-27.5768326672976
54956.27680249885,85.74357532320498
54956.29723623162,-65.72104240286416
54956.317669964395,135.97295644962594
54956.33810369717,-156.17906624809663
54956.358537429944,-221.4544597328727
54956.37897116272,-17.187527037387795
54956.39940489549,343.4011152734229
54956.419838628266,-111.5298914255991
54956.44027236104,91.47478586557511
54956.460706093814,106.69413266772843
54956.48113982659,160.31636299018714
54956.50157355936,192.75744270455772
54956.52200729214,90.86626838815147
54956.54244102491,242.35029385577533
54956.562874757685,21.2165859061475
